long,lat,cat_id
-114.186394,34.30806,0
-114.430832,34.5275,0
-114.526672,33.869438,0
-114.575279,34.183891,0
-114.601936,34.819439,0
-114.604439,33.603611,0
-114.605278,33.591942,0
-114.623062,34.766109,0
-114.643333,33.679169,0
-114.644997,33.603889,0
-114.647217,34.91111,0
-114.716667,33.618889,0
-114.95694,34.834999,0
-115.118889,34.134171,0
-115.192223,35.283058,0
-115.220001,35.096939,0
-115.26722,32.840279,0
-115.322777,33.748611,0
-115.355827,34.554722,0
-115.450562,33.801392,0
-115.513062,32.669441,0
-115.51667,32.993061,0
-115.521667,33.129719,0
-115.529442,32.788891,0
-115.542221,32.962502,0
-115.554718,32.958328,0
-115.558891,32.673328,0
-115.578613,32.834171,0
-115.636673,33.698891,0
-115.710281,33.665279,0
-115.733063,34.881672,0
-115.873894,33.48111,0
-115.923889,33.264999,0
-115.945557,34.131939,0
-115.952499,33.24139,0
-115.989166,33.283611,0
-115.997498,34.16,0
-115.99778,34.206108,0
-116.048058,34.162781,0
-116.08194,34.12833,0
-116.082497,35.285278,0
-116.091667,35.337502,0
-116.103058,35.14917,0
-116.132782,33.150002,0
-116.154167,34.753059,0
-116.159721,33.627781,0
-116.164719,32.616669,0
-116.235283,33.70694,0
-116.25222,34.154171,0
-116.26944,35.96833,0
-116.274719,33.748329,0
-116.275002,34.13472,0
-116.275833,33.191669,0
-116.27639,34.131672,0
-116.293327,32.950001,0
-116.323059,33.25972,0
-116.356667,33.235001,0
-116.391113,34.270279,0
-116.395828,33.686111,0
-116.405563,33.765831,0
-116.407784,34.127781,0
-116.409172,32.970829,0
-116.41333,34.12611,0
-116.425827,36.295559,0
-116.441391,33.081669,0
-116.454437,33.255829,0
-116.506111,33.82806,0
-116.574722,33.93972,0
-116.57972,34.337219,0
-116.610558,34.42028,0
-116.616943,34.423328,0
-116.622498,34.41444,0
-116.629997,35.282219,0
-116.639168,32.638062,0
-116.674721,33.284439,0
-116.675278,34.961391,0
-116.722504,32.764999,0
-116.745277,33.143059,0
-116.751938,33.070278,0
-116.786667,34.853611,0
-116.792503,33.179169,0
-116.796669,33.520828,0
-116.842499,33.42778,0
-116.850563,33.923061,0
-116.854439,34.263611,0
-116.881393,36.463612,0
-116.882782,33.597221,0
-116.883331,35.35556,0
-116.888329,35.350281,0
-116.893059,32.63306,0
-116.912498,33.039169,0
-116.921112,32.811111,0
-116.922218,32.755562,0
-116.959167,33.75,0
-116.972221,32.826111,0
-116.976669,33.544441,0
-116.980003,32.57222,0
-116.99028,33.32444,0
-116.996674,34.875,0
-116.998062,33.310558,0
-117.001938,33.186111,0
-117.005829,32.77972,0
-117.018333,34.89333,0
-117.022499,33.733891,0
-117.023064,32.619438,0
-117.02639,34.454441,0
-117.056389,32.998058,0
-117.071388,33.506939,0
-117.073608,34.035,0
-117.080559,34.560829,0
-117.081673,32.683891,0
-117.084717,32.593891,0
-117.092216,33.258888,0
-117.097504,32.719719,0
-117.110001,33.645561,0
-117.111938,32.566391,0
-117.128059,33.576111,0
-117.131111,34.853062,0
-117.13694,34.85667,0
-117.140282,32.81583,0
-117.14444,34.084721,0
-117.144722,32.724998,0
-117.144997,34.228329,0
-117.150558,32.715279,0
-117.156387,32.770828,0
-117.159172,36.603889,0
-117.160278,32.75111,0
-117.16806,34.265282,0
-117.168892,32.823059,0
-117.172501,34.60194,0
-117.186111,34.578892,0
-117.1875,32.73333,0
-117.191673,33.561939,0
-117.20472,32.90139,0
-117.212502,32.87389,0
-117.21833,33.76083,0
-117.230003,33.787781,0
-117.234444,34.09528,0
-117.237221,33.592499,0
-117.238609,33.564999,0
-117.239723,33.565559,0
-117.2425,32.90889,0
-117.250832,32.900002,0
-117.250832,33.354172,0
-117.264442,34.049999,0
-117.26667,34.583611,0
-117.267502,34.127781,0
-117.267776,34.542782,0
-117.271942,34.103329,0
-117.280281,33.128059,0
-117.291107,33.18528,0
-117.297783,33.632778,0
-117.302223,34.827221,0
-117.305,33.502781,0
-117.315277,34.14167,0
-117.315826,34.37722,0
-117.321671,34.130562,0
-117.327217,35.812222,0
-117.334999,34.00806,0
-117.35083,34.711941,0
-117.351936,33.217781,0
-117.370003,34.36861,0
-117.375,33.979172,0
-117.375832,33.982498,0
-117.40139,34.129169,0
-117.410561,33.989719,0
-117.421944,34.146938,0
-117.423889,33.853062,0
-117.431938,34.072498,0
-117.433327,34.101669,0
-117.436394,34.547779,0
-117.445,33.951672,0
-117.460564,34.53722,0
-117.496674,34.757778,0
-117.553612,34.569172,0
-117.567497,33.873058,0
-117.59111,33.613331,0
-117.597504,33.893608,0
-117.601112,34.055828,0
-117.602219,33.897499,0
-117.605003,34.624722,0
-117.606941,35.00333,0
-117.607498,33.55444,0
-117.633614,35.59111,0
-117.636673,33.974998,0
-117.653328,34.629719,0
-117.666389,33.560558,0
-117.671387,35.640831,0
-117.671669,35.610279,0
-117.673889,34.565281,0
-117.686394,34.111389,0
-117.708328,35.030281,0
-117.709999,33.608059,0
-117.726387,33.57222,0
-117.749168,34.50222,0
-117.76194,34.514999,0
-117.781113,36.806938,0
-117.78167,34.091389,0
-117.793327,34.052502,0
-117.799721,34.104439,0
-117.823608,34.490559,0
-117.825829,34.588612,0
-117.829437,35.658611,0
-117.831673,33.69389,0
-117.836937,33.67778,0
-117.837502,33.693329,0
-117.846107,33.672779,0
-117.848328,33.91806,0
-117.849998,33.848061,0
-117.857498,33.670559,0
-117.864998,33.78167,0
-117.86528,33.684441,0
-117.867783,33.753609,0
-117.868057,33.67556,0
-117.869171,34.133331,0
-117.87722,33.626389,0
-117.877777,33.688061,0
-117.882217,33.861111,0
-117.890282,33.788609,0
-117.901939,33.827221,0
-117.904167,33.663059,0
-117.916939,33.69389,0
-117.916939,33.865002,0
-117.917503,33.766941,0
-117.928329,34.019718,0
-117.929443,33.624168,0
-117.935829,33.715,0
-117.936943,34.004169,0
-117.959167,34.024441,0
-117.964172,33.87833,0
-117.964996,33.880829,0
-117.964996,34.028061,0
-117.965279,34.863892,0
-117.979721,33.871941,0
-117.998611,36.281391,0
-118,33.745281,0
-118.000282,33.67778,0
-118.001389,33.695,0
-118.013893,35.151669,0
-118.028328,33.679169,0
-118.034439,33.747219,0
-118.034721,34.085831,0
-118.042503,34.133331,0
-118.044441,33.66222,0
-118.051941,36.588058,0
-118.05278,34.013889,0
-118.059174,34.699718,0
-118.061943,33.661671,0
